ProductId,ProductName,Category,SubCategory,GrossRevenue,Profit,Discount,Orders,Quantity,ProfitMargin
28,Very Berry Parfum,Personal Care,Fragrance,4882092.0,3315060.3,247308.0,5628,42745,0.6790245452154526
29,Gardenia,Personal Care,Fragrance,4429232.5,3216799.86,224207.5,5598,42304,0.72626574920147
39,Bublik Beef Pate,Pet Food,Cat Pate Food,3984899.184,1897261.824,200866.176,5781,43711,0.47611287924618173
36,Hem Seafood Recipe,Pet Food,Cat Dry Food,3930928.848,1870944.5280000002,199391.472,5635,43132,0.4759548189105254
10,Vegan Vanilla Protein Powder,Food and Beverages,Protein Powder,3733100.165,1987580.165,193883.45499999996,5784,43638,0.5324207969651412
11,Vegan Peanut Butter Protein Powder,Food and Beverages,Protein Powder,3730697.432,2076519.432,186657.25799999994,5689,43531,0.5566035492958197
43,Daiso Royal Food,Pet Food,Cat Dry Food,2931661.7399999998,1395674.8199999998,145449.18,5658,42809,0.47606952772116196
38,Yuki Chicken Recipe,Pet Food,Cat Dry Food,2924115.948,1558354.908,146279.172,5638,42787,0.5329319820802126
40,Mac Liver Pate,Pet Food,Cat Pate Food,2909767.536,2093556.3360000001,140821.824,5606,42511,0.7194926433463379
41,Muji Digestive Care,Pet Food,Cat Dry Food,2865651.428,1164517.728,144382.272,5688,43630,0.4063710319481327
20,Anti Aging Moisturizer,Personal Care,Moisturizers,2796280.603,1726755.603,142346.28699999998,5711,42781,0.6175187143763197
17,Power Juice,Food and Beverages,Juice,2497391.109,1236642.309,126542.331,5727,43776,0.4951736652474804
21,Overnight Moisturizer,Personal Care,Moisturizers,2281147.0,1017907.0,114653.0,5738,43560,0.44622595562670886
37,Stanley Digestive Health Recipe,Pet Food,Dog Kibble,1822687.1775,548304.2775,88887.1725,5557,41565,0.3008219316339597
19,Green Tea Moisturizer,Personal Care,Moisturizers,1803986.525,961086.525,92117.025,5621,42145,0.5327570420738038
6,Protein Bar Smack,Food and Beverages,Protein Bars,1735990.9649999999,782575.605,84876.07499999997,5677,43416,0.4507947453516845
18,Celery Juice,Food and Beverages,Juice,1728435.474,949053.4739999999,87524.58599999997,5715,43299,0.5490823859358026
23,Overnight Cream,Personal Care,Creams,1699416.6,850261.39,84701.4,5644,42479,0.5003254587486082
33,Mr B Bionic Recipe,Pet Food,Dog Kibble,1572324.3865,682873.1365,79876.8635,5675,42375,0.4343080488753839
8,Protein Shake Luxury,Food and Beverages,Protein Shake,1487163.21,964503.2100000001,75590.19,5792,43555,0.6485523603021353
9,Protein Shake Dude,Food and Beverages,Protein Shake,1468798.0320000001,1055978.832,74113.728,5674,43002,0.7189407998879997
42,Koyah Calm and Relax,Pet Food,Dog Kibble,1466865.185,602997.335,74181.71500000001,5722,43215,0.4110789056596227
12,Organic Acai Powder,Food and Beverages,Acai Powder,1465922.1375,1034212.1375,74850.85249999998,5725,43171,0.7055027760640528
31,Hemp Mask,Personal Care,Face Masks,1465563.1169999999,950979.117,75615.963,5673,42882,0.6488830852584837
15,Naked Kombucha,Food and Beverages,Kombucha,1459424.565,690842.565,75177.495,5720,42699,0.47336640862969165
22,Heavy Repair Cream,Personal Care,Creams,1442357.0,576130.33,74298.0,5680,43333,0.3994367067237861
27,Retinol Eye Cream,Personal Care,Eye Cream,1373261.7,691533.7,75410.3,5657,42608,0.5035702226312727
44,Luna Beef Recipe,Pet Food,Dog Kibble,1364082.459,750056.459,68352.481,5801,43859,0.5498615234374186
35,Momo Duck Recipe,Pet Food,Dog Kibble,1337288.0,459766.98,67448.0,5797,43898,0.3438055078636763
32,Remi Chicken Recipe,Pet Food,Dog Kibble,1326078.0225,774210.8624999999,62723.937499999985,5594,42484,0.5838350755865874
34,Savannah Salmon Recipe,Pet Food,Dog Kibble,1258093.15,447315.1,65451.85,5645,42695,0.3555500639996331
14,Kombucha Tone,Food and Beverages,Kombucha,1252468.044,630277.644,63095.55599999999,5788,43940,0.5032285230903664
24,Anti Aging Serum,Personal Care,Serums,1119865.6,447885.85,56834.4,5565,42025,0.3999460738860091
13,Maca Powder,Food and Beverages,Acai Powder,992305.132,602259.082,50462.048,5789,44073,0.6069293230260147
5,The Best Protein Bar,Food and Beverages,Protein Bars,980676.963,644801.1630000001,50203.377,5691,43061,0.65750617922897
16,Tribal Therapy,Food and Beverages,Kefir Water,975683.079,590141.079,49858.641,5762,42838,0.6048491479475581
7,Sneaky Protein Bar,Food and Beverages,Protein Bars,975175.551,923832.351,49121.289000000004,5689,42786,0.9473497874845717
26,Brighten Eye Cream,Personal Care,Eye Cream,893356.2,616319.7,44305.8,5671,42621,0.6898924527528885
30,Acid 2% Face Mask,Personal Care,Face Masks,664876.1925,359469.1125,33758.887500000004,5682,43692,0.5406557138831527
25,Exfoliating Serum,Personal Care,Serums,603066.75,298636.35,31163.25,5552,42282,0.49519617853247583
3,Granola That Rock,Food and Beverages,Granola,513283.864,158146.97,25755.615999999998,5684,42511,0.3081082050146038
1,I Can't Believe It's Not Granola!,Food and Beverages,Granola,413312.7735,152885.5435,21022.456500000008,5708,43477,0.36990277896649615
2,Granola of the People,Food and Beverages,Granola,378852.085,201911.545,19818.455,5787,44346,0.532956140389197
4,Granola Stick,Food and Beverages,Granola,332862.2015,217494.6215,17627.1385,5843,43866,0.6534073875612458
